Name,Product urls,price,descriptions,additional_description,image_urls,Category,Subcategory,Brand,Sizes,Delivery,SKU,rating
Jai Bhairavi Wooden Ball Pen,https://ishalife.sadhguru.org/in/jai-bhairavi-wooden-ball-pen,125.0,"Product Details:
Features:
It comes in a black softcover.
It has pre-installed blue colour ink.
It has a rotating mechanism.
”Jai Bhairavi” is engraved on it.

Product Description:
It’s time to express your beautiful thoughts with Jai Bhairavi Wooden ball pen.
It has a perfect finish and is lightweight. The wood texture design gives it an antique look.
It can be a perfect gift to your special ones.

More Information:
More Information
SKU:
HO0079400000",,"https://ishalife.sadhguru.org/media/catalog/product/1/_/1_136_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/1/_/1_136_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/2/_/2_126_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/3/_/3_121_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/4/_/4_104_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/5/_/5_65_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/6/_/6_45_4.jpg?optimize=medium&fit=bounds&height=&width=",Home,"Stationery, Pens",Isha Life,100 капсул,"Free shipping above Rs 950, Within 24-48 hours Fast Dispatches, Secure Payments, Product of Bharat, Holistic Well-being",HO0079400000,0
Black and White Mulmul Cotton BlockPrinted Saree,https://ishalife.sadhguru.org/in/ca0186900000-mul-cotton-block-printed-saree-style-7,2100.0,"Product Description:


More Information:
More Information
SKU:
CA0186900000",,"https://ishalife.sadhguru.org/media/catalog/product/c/a/ca0186900000_1_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/a/ca0186900000_1_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/a/ca0186900000_2_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/a/ca0186900000_3_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/a/ca0186900000_4_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/a/ca0186900000_5_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/a/ca0186900000_6_.jpg?optimize=medium&fit=bounds&height=&width=",Clothing & Accessories,"Sarees, Save the Weave",Isha Life,100 капсул,"Free shipping above Rs 950, Within 24-48 hours Fast Dispatches, Secure Payments, Product of Bharat, Holistic Well-being",CA0186900000,0
Linga Bhairavi Car Hanging Kumkum,https://ishalife.sadhguru.org/in/linga-bhairavi-car-hanging-kumkum,90.0,"Product Description:
This framed photograph of Linga Bhairavi adorned in kumkum is designed to hang in your car.
A striking red tassel hangs below to complete the look. Take Her with you wherever you go, a reminder of her fierce and protective energies.

More Information:
More Information
SKU:
ME0018900000
HScode:
392490",,"https://ishalife.sadhguru.org/media/catalog/product/e/x/ex128-1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/0/1/0111039.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/0/1/0111039_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/0/1/0111039-1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/e/x/ex128-1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/e/x/ex128-2.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/e/x/ex128-3.jpg?optimize=medium&fit=bounds&height=&width=",Temple,Temple Merchandise,Isha Life,100 капсул,"Free shipping above Rs 950, Within 24-48 hours Fast Dispatches, Secure Payments, Product of Bharat, Holistic Well-being",ME0018900000,94.0
Unisex Organic Cotton Sadhana Track Pant White,https://ishalife.sadhguru.org/in/unisex-organic-cotton-sadhana-track-pant-white,800.0,"Product Details:
Why Isha Life?? Unisex Organic Track Pants?
-
Made from pure

Product Description:
Go with your natural flow.
Isha Life’s pure white, organic cotton track pants offer you absolute ease and fluid movement, perfect for your yoga and meditation practice. The fabric is mercerized cotton, which means it is treated to permanently straighten the cotton fibres, which then becomes a smooth rod-like fibre that is uniform in appearance with a high lustre.
Growing organic cotton involves sustainable farming practices with very low impact on the environment. When you buy any organic cotton product, you also support the livelihood of the farmers who grow crops without harming the ecology. Plus, undyed cotton plays a role in reducing water and air pollution.
Being organic in nature, this track pant is absolutely skin-friendly and completely free of toxic chemicals. It comes with two side pockets to keep your essentials handy. It has an elasticated waistband with drawstrings. Plus, the drawstrings at the bottom add to its casual joggers’ look.

More Information:
More Information
SKU:
CA00770",,"https://ishalife.sadhguru.org/media/catalog/product/0/4/0401164_1_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/0/4/0401164_1_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/0/4/0401164_3.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/0/4/0401164_2_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/u/cu506c-3_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/u/cu506c-2_1.jpg?optimize=medium&fit=bounds&height=&width=",MahaShivRatri 2025,"Mega Offer Zone, Adiyogi Clothing, Pants",Isha Life,100 капсул,"Free shipping above Rs 950, Within 24-48 hours Fast Dispatches, Secure Payments, Product of Bharat, Holistic Well-being",CA00770,98.0
Rudraksha Pendant,https://ishalife.sadhguru.org/in/rudraksha-pendant,510.0,"Product Description:
A pendant to pair with your casual wear - from kurtas to t-shirts! Isha Life’s pendant is designed in the shape of Shiva’s trident (trishul) and damru with a Rudraksha bead attached to it.
The trishul has meaningful symbolism attached to it. It is known to symbolise the three aspects of consciousness, which are waking, dreaming and sleeping. Shiva’s trishul is also considered to depict the harmony of the three gunas – sattva, rajas and tamas. Whereas the damru is known to represent the Universe, which expands and collapses and continues the cycle of creation. In combination with the Rudraksha, it creates an interesting effect.

More Information:
More Information
SKU:
CA0036500009
HScode:
711719",,"https://ishalife.sadhguru.org/media/catalog/product/j/w/jw112_2_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/0/1/0113155.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/0/1/0113155-1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/0/1/0113155-2.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/j/w/jw112_2_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/j/w/jw112.jpg?optimize=medium&fit=bounds&height=&width=",Clothing & Accessories,"Jewellery, Kundalini & Rudraksha, Pendants",Isha Life,100 капсул,"Free shipping above Rs 950, Within 24-48 hours Fast Dispatches, Secure Payments, Product of Bharat, Holistic Well-being",CA0036500009,89.0
Extra Nourishment Protection Organic Hair Conditioner With Bamboo Cucumber Extract All Hair Types 100ml,https://ishalife.sadhguru.org/in/isha-life-bloom-extra-nourishment-protection-organic-hair-conditioner-100ml,545.0,"Product Description:
Those bubbly and playful strands of hair,
Swinging about joyfully amidst the winds
Wild and mischievous, kind and rebellious
Craving a protective shield of nourishment
To softly preserve their strength and sparkle
Repair and nurture your precious locks with a soothing blend of friendly elements. Revel in your smooth, strong, and lustrous hair that are no more afraid of environmental damage.
We all have used hair conditioners for detangling and smoothing our hair. But do you know what a good hair conditioner does?
It moisturizes your hair
It maintains the luster and shine of hair
It works as a smoothening agent for your hair
Our Extra Nourishment and Protection Conditioner takes care of all the above and much more. Let's see how it's formulated.
To moisturize your hair, we've added a nourishing blend of Cucumber Extracts and Shikakai to our conditioner. It treats various hair problems and infuses moisture into the hair, leaving you with smooth and silky strands.
For retaining the shine of your hair, we have used Bamboo Extracts that promote the growth of thick, strong, and shiny hair.
And finally, to readily smoothen your hair strands, we have incorporated Methi. It’s a natural conditioner laced with antioxidants and anti-inflammatory properties. It leaves you with smooth and detangled locks.

More Information:
More Information
SKU:
BC0003703101",,"https://ishalife.sadhguru.org/media/catalog/product/1/_/1_207_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/1/_/1_207_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/5/_/5_28.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/2/_/2_205_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/3/_/3_171_2.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/b/l/bloom_1_24.jpg?optimize=medium&fit=bounds&height=&width=",Body Care,"Bloom -  Certified Organic Care, Hair, Organic Hair Conditioners",Isha Life,100 капсул,"Free shipping above Rs 950, Within 24-48 hours Fast Dispatches, Secure Payments, Product of Bharat, Holistic Well-being",BC0003703101,0
Adiyogi Notebook with Copper Foil Details Rust,https://ishalife.sadhguru.org/in/ho0116117300-adiyogi-notebook-with-copper-fit-details-rust,290.0,"Product Description:
Celebrate the profound presence of Adiyogi with this elegantly designed notebook. Featuring an artistic rendition of Adiyogi embossed with golden accents on the cover, it’s a tribute to the boundless grace of Shiva. Inside, plain pages await your thoughts, reflections, and creative expressions.
With Adiyogi by your side, let this notebook be a space to capture moments of stillness and insight as you journey inward.

More Information:
More Information
SKU:
HO0116117300",,"https://ishalife.sadhguru.org/media/catalog/product/3/_/3_205_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/3/_/3_205_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/6/_/6_107_4.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/h/o/ho0116117300_1_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/h/o/ho0116117300_3_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/h/o/ho0116117300_2_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/h/o/ho0116117300_4_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/h/o/ho0116117300_5_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/h/o/ho0116117300_6_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/h/o/ho0116117300_7_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/h/o/ho0116117300_8_.jpg?optimize=medium&fit=bounds&height=&width=",Clothing & Accessories,"Mystic Moon, Note Books, Collections",Isha Life,100 капсул,"Free shipping above Rs 950, Within 24-48 hours Fast Dispatches, Secure Payments, Product of Bharat, Holistic Well-being",HO0116117300,0
Enchanted Halo Earrings,https://ishalife.sadhguru.org/in/ca0198916900-tc-earing-medium-hook-red-style-1,570.0,"Product Description:
Make a statement of artistry and elegance with our handcrafted
Enchanted Halo Earrings
. Designed by local artisans, these bold disc-shaped pieces feature a harmonious blend of pink and gold, with a central golden ring that draws the eye. The subtle gold accents around the edges and the central hole create a perfect balance of sophistication and charm. Finished with delicate golden beads at the base, these earrings add a touch of modern flair to any look.

More Information:
More Information
SKU:
CA0198916900",,"https://ishalife.sadhguru.org/media/catalog/product/c/a/ca0198916900_6_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/a/ca0198916900_6_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/a/ca0198916900_1_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/a/ca0198916900_2_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/a/ca0198916900_3_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/a/ca0198916900_4_.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/a/ca0198916900_5_.jpg?optimize=medium&fit=bounds&height=&width=",Clothing & Accessories,"Jewellery, Teracotta Jewellery, Teracotta Earings",Isha Life,100 капсул,"Free shipping above Rs 950, Within 24-48 hours Fast Dispatches, Secure Payments, Product of Bharat, Holistic Well-being",CA0198916900,0
Women Organic Cotton Knitted Drawstring Pants White,https://ishalife.sadhguru.org/in/women-organic-cotton-knitted-drawstring-pants-white,990.0,"Product Description:
These Organic cotton pants offer a relaxed silhouette and come with a drawstring closure to keep them in place.
Made of durable washed cotton for unsurpassed comfort.

More Information:
More Information
SKU:
CA01068",,"https://ishalife.sadhguru.org/media/catalog/product/0/2/0202532-1_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/w/cw211c-3.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/w/cw211c-1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/c/w/cw211c-2.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/0/2/0202532-1_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/0/2/0202532-2_1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/0/2/0202532-3_1.jpg?optimize=medium&fit=bounds&height=&width=",MahaShivRatri 2025,"Mega Offer Zone, Adiyogi Clothing, Pants",Isha Life,100 капсул,"Free shipping above Rs 950, Within 24-48 hours Fast Dispatches, Secure Payments, Product of Bharat, Holistic Well-being",CA01068,0
Authentic Isha Panchamukhi fivefaced Rudraksha Mala Energized at Dhyanalinga Your cocoon of energy 8 mm,https://ishalife.sadhguru.org/in/replacement-beads-for-panchamukhi-5-face-malas-8mm,300.0,"Product Details:
Dimensions:
Rudraksha Mala Length - 14.5 - 18.5 Inches (Approximately)
Rudraksha Thickness - 8 mm
No. of beads:
Depending on the size of the Rudraksha seeds, the mala will have a varying number of beads.
An adult should not wear a mala with less than 84 beads plus the bindu. Any number over that is fine.
What to tie Rudraksha with
:
To tie the Rudraksha one can use any silk or cotton thread or any chain made of silver, gold and copper.

Product Description:
What if there was a tool you could keep on you 24/7 that would not only help you spiritually but also mentally and physically? A tool that needed nearly no maintenance, would be portable enough to carry anywhere, at the same time be discrete enough for no one to know, making
you an Undercover Yogi!
Soaking in the grace of Dhyanalinga - Rudraksha
 “Rudraksha is a great support. It cleanses your aura, creates a cocoon of your own energy, and makes you available to Grace.” —Sadhguru
Carefully selected and checked for their quality and authenticity, Isha’s Rudraksha undergo a special processed, where they are energized in the sphere of Dhyanalinga.
A powerful accessory, worn by all spiritual seekers, Rudraksha assists in one’s spiritual sadhana and acts as a cocoon of energy. This Rudraksha Mala has Panchamukhi (five-faced) Rudraksha beads, which specifically helps develop physical and mental wellbeing. With no strict rules to be followed, anyone over the age of 14 can wear them at all times.

More Information:
More Information
SKU:
RS0000608100
HScode:
71179010",,"https://ishalife.sadhguru.org/media/catalog/product/1/-/1-image_of_panchamukhi_rudraksha_mala_isha_life.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/1/-/1-image_of_panchamukhi_rudraksha_mala_isha_life.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/i/n/infographic_of_beads_panchamukhi_rudraksha_mala_isha_life.1.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/i/n/infographic_of_original_panchamukhi_rudraksha_mala_isha_life.2.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/i/n/infographic_of_panchamukhi_rudraksha_mala_isha_life_7.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/i/n/infographic_of_authentic_panchamukhi_rudraksha_mala_isha_life.5.jpg?optimize=medium&fit=bounds&height=&width=, https://ishalife.sadhguru.org/media/catalog/product/i/n/infographic_of_authentic_panchamukhi_rudraksha_mala_isha_life.4.jpg?optimize=medium&fit=bounds&height=&width=",Consecrated Panchamukhi Malas,,Isha Life,100 капсул,"Free shipping above Rs 950, Within 24-48 hours Fast Dispatches, Secure Payments, Product of Bharat, Holistic Well-being",RS0000608100,91.0
